Edad	Area_basimetrica_m2_ha	thinning	varname	zone	cal
1	4.91310336574817e-09	M2	AB	0	11
2	0.000373299910914116	M2	AB	0	11
3	0.0200178250697039	M2	AB	0	11
4	0.158193938132038	M2	AB	0	11
5	0.566038437029012	M2	AB	0	11
6	1.34912026598192	M2	AB	0	11
7	2.53729391705867	M2	AB	0	11
8	4.10482140089226	M2	AB	0	11
9	5.99767501543377	M2	AB	0	11
10	8.15286646805355	M2	AB	0	11
11	10.5091854532572	M2	AB	0	11
12	13.0121198676134	M2	AB	0	11
13	15.6154658309119	M2	AB	0	11
14	18.2812608301722	M2	AB	0	11
14	16.3394233913205	M2	AB	0	11
15	18.8487644414995	M2	AB	0	11
16	21.3776811574918	M2	AB	0	11
17	23.9071690282167	M2	AB	0	11
18	26.4223125036583	M2	AB	0	11
19	28.9115502589161	M2	AB	0	11
20	31.3660455249673	M2	AB	0	11
21	33.7791591989617	M2	AB	0	11
22	36.1460155063992	M2	AB	0	11
22	29.9582275446323	M2	AB	0	11
23	32.0431355460974	M2	AB	0	11
24	34.0912793088276	M2	AB	0	11
25	36.1001507241214	M2	AB	0	11
26	38.0679909362186	M2	AB	0	11
27	39.9936469872963	M2	AB	0	11
28	41.8764541161424	M2	AB	0	11
29	43.7161392696848	M2	AB	0	11
30	45.5127420905779	M2	AB	0	11
30	26.4742012918012	M2	AB	0	11
31	27.7770387940353	M2	AB	0	11
32	29.0611210519418	M2	AB	0	11
33	30.3256931377114	M2	AB	0	11
34	31.5701917670042	M2	AB	0	11
35	32.7942163979119	M2	AB	0	11
36	33.9975043868003	M2	AB	0	11
37	35.1799096494869	M2	AB	0	11
38	36.3413843449161	M2	AB	0	11
39	37.4819631612254	M2	AB	0	11
40	38.6017498402848	M2	AB	0	11
40	0	M2	AB	0	11
